"sample_name","sampleID_16S","dataType"
"SCBI_006-M-20140915","SCBI.006.23.M.28.3.20140915","16S"
"SCBI_006-M-20140915","Composite","MG"
"SCBI_012-M-20140915","SCBI.012.39.M.13.31.20140915","16S"
"SCBI_012-M-20140915","SCBI.012.41.M.30.27.20140915","16S"
"SCBI_012-M-20140915","SCBI.012.41.M.37.22.20140915","16S"
"SCBI_012-M-20140915","Composite","MG"
"STER_001-M-20130627","STER.001.M.22.2.20130627","16S"
"STER_001-M-20130627","STER.001.M.25.38.20130627","16S"
"STER_001-M-20130627","STER.001.M.9.26.20130627","16S"
"STER_001-M-20130627","Composite","MG"
"STER_001-M-20130627","STER.001.M.22.2.20130627","16S"
"STER_001-M-20130627","STER.001.M.25.38.20130627","16S"
"STER_001-M-20130627","STER.001.M.9.26.20130627","16S"
"STER_001-M-20130627",NA,"MG"
"STER_003-M-20130627","STER.003.M.22.37.20130627","16S"
"STER_003-M-20130627","STER.003.M.38.5.20130627","16S"
"STER_003-M-20130627","STER.003.M.9.22.20130627","16S"
"STER_003-M-20130627","Composite","MG"
"STER_003-M-20131217","STER.003.M.14.37.20131217","16S"
"STER_003-M-20131217","STER.003.M.34.0.20131217","16S"
"STER_003-M-20131217","STER.003.M.38.30.20131217","16S"
"STER_003-M-20131217","Composite","MG"
"STER_003-M-20140325","STER.003.M.14.32.20140325","16S"
"STER_003-M-20140325","STER.003.M.37.14.20140325","16S"
"STER_003-M-20140325","STER.003.M.9.11.20140325","16S"
"STER_003-M-20140325","Composite","MG"
"STER_003-M-20131217","STER.003.M.14.37.20131217","16S"
"STER_003-M-20131217","STER.003.M.34.0.20131217","16S"
"STER_003-M-20131217","STER.003.M.38.30.20131217","16S"
"STER_003-M-20131217",NA,"MG"
"STER_003-M-20130627","STER.003.M.22.37.20130627","16S"
"STER_003-M-20130627","STER.003.M.38.5.20130627","16S"
"STER_003-M-20130627","STER.003.M.9.22.20130627","16S"
"STER_003-M-20130627",NA,"MG"
"STER_004-M-20130627","STER.004.M.1.21.20130627","16S"
"STER_004-M-20130627","STER.004.M.22.33.20130627","16S"
"STER_004-M-20130627","STER.004.M.3.10.20130627","16S"
"STER_004-M-20130627","Composite","MG"
"STER_004-M-20131217","STER.004.M.20.33.20131217","16S"
"STER_004-M-20131217","STER.004.M.40.2.20131217","16S"
"STER_004-M-20131217","STER.004.M.7.21.20131217","16S"
"STER_004-M-20131217","Composite","MG"
"STER_004-M-20140325","STER.004.M.0.1.20140325","16S"
"STER_004-M-20140325","STER.004.M.0.37.20140325","16S"
"STER_004-M-20140325","STER.004.M.35.15.20140325","16S"
"STER_004-M-20140325","Composite","MG"
"STER_004-M-20130627","STER.004.M.1.21.20130627","16S"
"STER_004-M-20130627","STER.004.M.22.33.20130627","16S"
"STER_004-M-20130627","STER.004.M.3.10.20130627","16S"
"STER_004-M-20130627",NA,"MG"
"STER_004-M-20131217","STER.004.M.20.33.20131217","16S"
"STER_004-M-20131217","STER.004.M.40.2.20131217","16S"
"STER_004-M-20131217","STER.004.M.7.21.20131217","16S"
"STER_004-M-20131217",NA,"MG"
"STER_005-M-20130627","STER.005.M.16.35.20130627","16S"
"STER_005-M-20130627","STER.005.M.34.37.20130627","16S"
"STER_005-M-20130627","STER.005.M.5.35.20130627","16S"
"STER_005-M-20130627","Composite","MG"
"STER_005-M-20140325","STER.005.M.23.35.20140325","16S"
"STER_005-M-20140325","STER.005.M.39.15.20140325","16S"
"STER_005-M-20140325","STER.005.M.5.17.20140325","16S"
"STER_005-M-20140325","Composite","MG"
"STER_005-M-20140618","STER.005.M.17.34.20140618","16S"
"STER_005-M-20140618","STER.005.M.26.3.20140618","16S"
"STER_005-M-20140618","STER.005.M.29.2.20140618","16S"
"STER_005-M-20140618","Composite","MG"
"STER_005-M-20130627","STER.005.M.16.35.20130627","16S"
"STER_005-M-20130627","STER.005.M.34.37.20130627","16S"
"STER_005-M-20130627","STER.005.M.5.35.20130627","16S"
"STER_005-M-20130627",NA,"MG"
"STER_006-M-20140325","STER.006.M.33.14.20140325","16S"
"STER_006-M-20140325","STER.006.M.36.23.20140325","16S"
"STER_006-M-20140325","STER.006.M.6.12.20140325","16S"
"STER_006-M-20140325","Composite","MG"
"STER_006-M-20140618","STER.006.M.12.7.20140618","16S"
"STER_006-M-20140618","STER.006.M.35.24.20140618","16S"
"STER_006-M-20140618","STER.006.M.5.26.20140618","16S"
"STER_006-M-20140618","Composite","MG"
"STER_018-M-20140618","STER.018.M.17.9.20140618","16S"
"STER_018-M-20140618","STER.018.M.29.37.20140618","16S"
"STER_018-M-20140618","STER.018.M.9.11.20140618","16S"
"STER_018-M-20140618","Composite","MG"
"STER_026-M-20140618","STER.026.M.15.33.20140618","16S"
"STER_026-M-20140618","STER.026.M.21.39.20140618","16S"
"STER_026-M-20140618","STER.026.M.2.33.20140618","16S"
"STER_026-M-20140618","Composite","MG"
"TALL_001-M-20140516","TALL.001.21.M.1.6.20140516","16S"
"TALL_001-M-20140516","TALL.001.39.M.17.34.20140516","16S"
"TALL_001-M-20140516","TALL.001.23.M.26.03.20140516","16S"
