SampleID	CPER_003-M-20140116
Hirsutella	1
Hirudinaria	1
Hirudo	1
Histiostoma	2
Histomonas	2
Histophilus	1241
Histriculus	1
Hockeria	1
Hoeflea	6528
Holcus	1
Holdemania	1728
Holomastigotoides	1
Holospora	1
Holosticha	1
Holothuria	2
Homarus	4
Homo	1825
Hordeum	160
Hortaea	1
Hotaria	1
Houttuynia	1
Hugonia	1
Humicola	3
Huperzia	3
Hyacinthus	7
Hyalomma	1
Hyaloperonospora	3
Hyaloraphidium	1
Hyaloscypha	1
Hybanthus	1
Hydra	1185
Hydrangea	2
Hydrilla	2
Hydrodictyon	3
Hydrogenivirga	4529
Hydrogenobacter	3490
Hydrogenobaculum	2106
Hydrogenophaga	403
Hydrogenophilus	55
Hydrogenothermus	4
Hydrogenovibrio	1
Hydrophyllum	1
Hydropsyche	1
Hygroryza	2
Hyla	2
Hylobates	6
Hylurgops	1
Hymenobacter	56
Hynobius	1
Hyoscyamus	2
Hyperamoeba	2
Hypericum	2
Hyperthermus	2167
Hyphochytrium	3
Hyphomicrobium	19367
Hyphomonas	16578
Hypnea	1
Hypochthonius	2
Hypocrea	27
Hypocrella	1
Hyposmocoma	1
Hypotrichomonas	1
Hypselosoma	1
Hyriopsis	1
I3-like viruses	120
Ichnanthus	1
Ichnovirus	2
Ichthyobodo	1
Ichthyophthirius	1
Ictalurus	72
Ictidomys	5
Ideonella	11
Idiomarina	6974
Ifremeria	1
Igernella	1
Ignatius	2
Ignatzschineria	5
Ignicoccus	984
Ignisphaera	513
Ilex	1
Illicium	1
Ilyobacter	1865
Ilyocoris	1
Ilyonectria	1
Impatiens	1
Imtechium	4
Indirana	1
Inocybe	13
Inovirus	7
Intrasporangium	28508
Iotrochota	2
Iphiteon	1
Ipomoea	37
Iridovirus	5
Iris	2
Irpex	1
Isaria	1
Isatis	8
Isepeolus	1
Isochrysis	12
Isoetes	11
Isoptericola	6
Isosphaera	47905
Ixodes	1033
Jaculus	1
Janibacter	27778
Jannaschia	11296
Janthinobacterium	17290
Jasminum	2
Jatropha	1
Jeotgalibacillus	2
