SampleID	CPER_002-M-20130701
Narcissus	3
Nardus	1
Nasonia	154
Nasutitermes	1
Natranaerobius	2458
Natrialba	946
Natrinema	1
Natronomonas	1402
Naumovozyma	1
Nautilia	319
Nectria	1410
Neisseria	2992
Nematostella	840
Neoachmandra	1
Neoasaia	23
Neocallimastix	12
Neoceratium	2
Neolinocarpon	35
Neorickettsia	205
Neosartorya	1343
Neosinocalamus	3
Neospora	1
Neotyphodium	3
Nephila	2
Nephroselmis	33
Neptuniibacter	658
Nereis	1
Neslia	1
Nesterenkonia	1
Neurospora	4116
Nicotiana	141
Nitratifractor	382
Nitratiruptor	1095
Nitrobacter	31413
Nitrococcus	6010
Nitrosococcus	16774
Nitrosomonas	7988
Nitrosopumilus	1779
Nitrososphaera	267
Nitrosospira	7439
Nitrosovibrio	6
Nitrospira	11534
Nocardia	29632
Nocardioides	46067
Nocardiopsis	19403
