SampleID	CPER_002-M-14-37-20140117
Haloquadratum	1355
Haloragis	1
Halorhabdus	821
Halorhodospira	4613
Halorubrum	857
Haloterrigena	2000
Halothermothrix	4261
Halothiobacillus	1935
Halteria	1
Hanusia	2
Hapalosiphon	4
Haplochromis	1
Harmonia	2
Harpagifer	1
Harpegnathos	181
Harpochytrium	2
Hartmannella	100
Haslea	1
Hebeloma	1
Hedera	1
Helianthus	9
Helicobacter	2238
Heliconius	3
Helicosporidium	7
Helicoverpa	8
Heliobacillus	410
Heliobacterium	7322
Heliocidaris	1
Heliophilum	8
Heliosperma	1
Heliothis	8
Hemicentrotus	1
Hemiselmis	4
Hemityphis	5
Herbaspirillum	6247
Herdmania	1
Herminiimonas	5784
Herpetosiphon	19596
Heterocapsa	5
Heterococcus	1
Heterodera	12
Heterodontus	1
Heteromita	2
Heteronotia	1
Heterorhabditis	1
Heterosigma	18
Heuchera	1
Hevea	7
Hewittia	1
Hildebrandtia	1
Hippoglossus	1
Hippospongia	1
Hirschia	2332
Hirudo	1
Histophilus	570
Hoeflea	3878
Holcus	1
Holdemania	799
Holothuria	1
Holotrichia	1
Homo	885
Hordelymus	1
Hordeum	100
Hua	1
Humbertia	1
Humicola	5
Huperzia	5
Hyalella	1
Hyaloperonospora	1
Hyaloraphidium	1
Hybos	1
Hydra	2
Hydractinia	1
Hydrangea	1
Hydrastis	1
Hydrogenivirga	1860
Hydrogenobacter	1473
Hydrogenobaculum	927
Hydrogenophaga	164
Hydrogenophilus	13
Hydrozetes	1
Hylobates	5
Hymeniacidon	1
Hymenobacter	6
Hymenodontopsis	1
Hyoscyamus	2
Hypericum	2
Hyperoodon	1
Hyperthermus	791
Hyphessobrycon	1
Hyphomicrobium	8086
Hyphomonas	9937
Hypnea	1
Hypoatherina	1
Hypocrea	21
Hypocrella	1
Hypomyces	2
Hypselosoma	4
Hypsibius	2
Hyriopsis	1
I3-like viruses	50
Ichnovirus	3
Icmadophila	1
Ictalurivirus	1
Ictalurus	39
Ictidomys	1
Ideonella	5
Idiomarina	2890
Ignatzschineria	2
Ignicoccus	420
Ignisphaera	273
Ilex	1
Illicium	3
Ilyobacter	890
Ilyocoris	1
Ilyonectria	1
Imtechium	3
Inocybe	1
Inonotus	1
Inovirus	1
Intrasporangium	14886
Iotrochota	1
Ipomoea	10
Iridovirus	1
Iris	1
Isaria	2
Isatis	4
Ischnura	2
Iseia	1
Isochrysis	6
Isoetes	8
Isoptericola	9
Isosphaera	27342
Isotricha	1
Itzaea	1
Ixodes	461
Jacquemontia	1
Jakoba	2
